Accident,Appropriate Measures
Burns ,Cool under running water for 10–15 minutes. Cover with sterile dressing. Do not apply ice.
Burns (Severe),Do not remove stuck clothing. Cover loosely with sterile cloth. Seek emergency care immediately.
Scald (Hot Water Burn),Cool area with running water. Remove tight items. Cover with clean dressing.
Chemical Burn,Rinse with clean water for at least 20 minutes. Remove contaminated clothing. Seek medical help.
Electric Shock,Turn off power source before touching victim. Check breathing. Call emergency services.
Minor Cut,Wash with clean water. Apply antiseptic. Cover with sterile bandage.
Deep Cut,Apply firm pressure to stop bleeding. Elevate if possible. Seek medical care.
Bleeding (Severe),Apply direct pressure. Use clean cloth. Call emergency services.
Nosebleed,Sit upright. Lean forward. Pinch nostrils for 10 minutes.
Animal Bite,Wash wound with soap and water. Apply antiseptic. Seek medical evaluation.
Dog Bite,Clean thoroughly. Control bleeding. Seek rabies vaccination advice.
Snake Bite,Keep person calm. Immobilize limb. Do not suck venom. Seek emergency care.
Insect Sting,Remove stinger if visible. Apply cold compress. Monitor for allergic reaction.
Severe Allergic Reaction,Administer epinephrine if available. Call emergency services immediately.
Choking (Adult),Perform Heimlich maneuver. Call emergency services if unresolved.
Choking (Infant),Give back blows and chest thrusts. Seek emergency care.
Fracture (Suspected),Immobilize area. Avoid movement. Apply splint if trained. Seek medical care.
Sprain,"Rest, Ice, Compression, Elevation (RICE). Avoid strain."
Strain,Rest the muscle. Apply cold compress. Gentle stretching after 24 hours.
Dislocation,Immobilize joint. Do not attempt to reposition. Seek medical help.
Head Injury (Minor),Apply cold pack. Monitor for dizziness or vomiting.
Head Injury (Severe),Do not move person. Call emergency services immediately.
Concussion,Keep person awake and monitored. Seek medical evaluation.
Fainting,Lay flat. Elevate legs. Loosen tight clothing.
Heat Stroke,Move to cool area. Cool with wet cloths. Call emergency services.
Heat Exhaustion,Rest in cool place. Provide fluids.
Dehydration,Give oral rehydration fluids. Encourage small sips of water.
Hypothermia,Move to warm place. Remove wet clothing. Cover with blankets.
Frostbite,Warm gradually using body heat. Do not rub affected area.
Asthma Attack,Help use inhaler. Sit upright. Seek help if breathing does not improve.
Heart Attack (Suspected),Call emergency services immediately. Give aspirin if conscious and not allergic.
Stroke (Suspected),Call emergency services immediately. Note time of symptom onset.
Seizure,Protect from injury. Do not restrain. Turn on side after seizure.
Drowning,Remove from water safely. Check breathing. Begin CPR if needed.
Poisoning (General),Do not induce vomiting. Call poison control or emergency services.
Food Poisoning,Provide fluids. Rest. Seek care if severe dehydration occurs.
Eye Injury (Foreign Object),Rinse with clean water. Do not rub. Seek medical care if persists.
Eye Chemical Exposure,Flush with clean water for 20 minutes. Seek urgent care.
Tooth Knocked Out,Place tooth in milk. Seek dentist immediately.
Broken Tooth,Rinse mouth. Apply cold compress. See dentist.
Back Injury,Keep still. Avoid movement. Seek medical care.
Spinal Injury,Do not move person. Call emergency services.
Chest Pain,Rest. Call emergency services if severe or persistent.
Abdominal Injury,Lay flat. Avoid giving food or drink. Seek medical care.
Internal Bleeding (Suspected),Keep person still. Call emergency services.
Diabetic Emergency (Low Sugar),Give glucose tablets or sugary drink if conscious.
Diabetic Emergency (High Sugar),Seek medical care. Encourage hydration.
Panic Attack,Reassure person. Encourage slow breathing.
Hyperventilation,"Encourage slow, controlled breathing."
Shock,Lay flat. Elevate legs. Keep warm. Call emergency services.
Bruise,Apply cold compress for 10–20 minutes.
Blister,Do not pop. Cover with sterile dressing.
Splinter,Remove with sterilized tweezers. Clean area.
Sunburn,Cool compress. Apply soothing lotion. Hydrate well.
Nose Injury,Apply cold compress. Seek care if deformity present.
